unit_id,timestamp,solar_irradiance_Wm2,temperature_C,panel_voltage_V,panel_current_A,battery_soc_pct
aurion-001,10/1/2025 0:00,0,30.86,36.25,0,0
aurion-001,10/1/2025 1:00,88.39,34.48,36.67,0.52,0
aurion-001,10/1/2025 2:00,0,30.73,34.93,0,0
aurion-001,10/1/2025 3:00,33.61,34.86,35.7,0.2,0
aurion-001,10/1/2025 4:00,0,39.97,34.71,0,0
aurion-001,10/1/2025 5:00,0,33.93,36.19,0,0
aurion-001,10/1/2025 6:00,0,34.21,32.82,0,0
aurion-001,10/1/2025 7:00,0,35.15,35.69,0,0
aurion-001,10/1/2025 8:00,40.54,31.02,34.64,0.24,0
aurion-001,10/1/2025 9:00,1.99,35.48,35.34,0.01,0
aurion-001,10/1/2025 10:00,128.26,38.31,37.02,0.75,0
aurion-001,10/1/2025 11:00,11.41,39.89,34.28,0.07,0
aurion-001,10/1/2025 12:00,195.12,43.4,36.15,1.14,0
aurion-001,10/1/2025 13:00,75.75,37.54,37.07,0.44,0
aurion-001,10/1/2025 14:00,232.76,35.93,37.11,1.36,0
aurion-001,10/1/2025 15:00,253.32,34.93,34.13,1.48,0
aurion-001,10/1/2025 16:00,112.16,35.22,34.67,0.65,0
aurion-001,10/1/2025 17:00,30.71,33.3,35.22,0.18,0
aurion-001,10/1/2025 18:00,300.83,43.18,35.18,1.76,0
aurion-001,10/1/2025 19:00,142.49,36.55,37.3,0.83,0
aurion-001,10/1/2025 20:00,427.07,29.16,36.62,2.49,0
aurion-001,10/1/2025 21:00,276.79,41.87,35.3,1.62,0
aurion-001,10/1/2025 22:00,273.03,36.15,34.77,1.59,0
aurion-001,10/1/2025 23:00,196.01,36.37,35.67,1.14,0
aurion-001,10/2/2025 0:00,233.59,38.02,37.06,1.36,0
aurion-001,10/2/2025 1:00,158.91,31.82,36.38,0.93,0
aurion-001,10/2/2025 2:00,305.11,49.89,34.94,1.78,0
aurion-001,10/2/2025 3:00,173.04,29.13,35.29,1.01,0
aurion-001,10/2/2025 4:00,265.34,40.84,35.19,1.55,0
aurion-001,10/2/2025 5:00,452.49,29.67,36.33,2.64,0
aurion-001,10/2/2025 6:00,198.16,28.07,37.44,1.16,0
aurion-001,10/2/2025 7:00,203.22,44.69,36.7,1.19,0
aurion-001,10/2/2025 8:00,323.17,35.84,36.33,1.89,0
aurion-001,10/2/2025 9:00,425.42,38.81,36.5,2.48,0
aurion-001,10/2/2025 10:00,328.18,42.02,35.66,1.92,0
aurion-001,10/2/2025 11:00,380.08,27.39,36.93,2.22,0
aurion-001,10/2/2025 12:00,327.46,33.55,36.47,1.91,0
aurion-001,10/2/2025 13:00,178.18,48.01,35.83,1.04,0
aurion-001,10/2/2025 14:00,306.14,35.01,35.3,1.79,0
aurion-001,10/2/2025 15:00,372.73,38.7,36.9,2.18,0
aurion-001,10/2/2025 16:00,225.88,22,35.08,1.32,0
aurion-001,10/2/2025 17:00,269.31,43.52,35.59,1.57,0
aurion-001,10/2/2025 18:00,347.74,33.23,35.01,2.03,0
aurion-001,10/2/2025 19:00,384.74,33.28,34.66,2.25,0
aurion-001,10/2/2025 20:00,363.53,30.4,34.89,2.12,0
aurion-001,10/2/2025 21:00,553.71,44.88,34.72,3.23,0
aurion-001,10/2/2025 22:00,448.27,29.68,36.95,2.62,0
aurion-001,10/2/2025 23:00,378.47,35.3,35.7,2.21,0
aurion-001,10/3/2025 0:00,430.77,38.86,36.02,2.51,0
aurion-001,10/3/2025 1:00,324.8,32.7,36.76,1.9,0
aurion-001,10/3/2025 2:00,381.66,33.17,37.19,2.23,0
aurion-001,10/3/2025 3:00,803.29,29.31,36.67,4.69,0
aurion-001,10/3/2025 4:00,378.15,41.73,35.55,2.21,0
aurion-001,10/3/2025 5:00,606.46,33.34,35.49,3.54,0
aurion-001,10/3/2025 6:00,584.55,24.61,37.18,3.41,0
aurion-001,10/3/2025 7:00,478.75,41.8,36.81,2.79,0
aurion-001,10/3/2025 8:00,408.06,28.59,36.01,2.38,0
aurion-001,10/3/2025 9:00,579.66,44.64,36.6,3.38,0
aurion-001,10/3/2025 10:00,690.37,26.25,37.94,4.03,0
aurion-001,10/3/2025 11:00,562.17,35.42,35.72,3.28,0
aurion-001,10/3/2025 12:00,498.24,34.63,36.65,2.91,0
aurion-001,10/3/2025 13:00,455.98,29.4,34.82,2.66,0
aurion-001,10/3/2025 14:00,424.56,29.56,35.41,2.48,0
aurion-001,10/3/2025 15:00,586.58,39.69,35.17,3.42,0
aurion-001,10/3/2025 16:00,399.51,28.49,34.8,2.33,0
aurion-001,10/3/2025 17:00,429.69,38.1,37.88,2.51,0
aurion-001,10/3/2025 18:00,550.99,34.65,36.16,3.22,0
aurion-001,10/3/2025 19:00,504.86,43.44,35.69,2.95,0
aurion-001,10/3/2025 20:00,772.08,41.17,34.52,4.51,0
aurion-001,10/3/2025 21:00,532.44,43.04,36.33,3.11,0
aurion-001,10/3/2025 22:00,425.08,37.43,37.15,2.48,0
aurion-001,10/3/2025 23:00,503.77,35.8,35.65,2.94,0
aurion-001,10/4/2025 0:00,700.15,35.22,35.72,4.09,0
aurion-001,10/4/2025 1:00,545.61,25.53,36.52,3.18,0
aurion-001,10/4/2025 2:00,724.96,35.84,34.64,4.23,0
aurion-001,10/4/2025 3:00,668.53,32.37,35.9,3.9,0
aurion-001,10/4/2025 4:00,544.45,35.38,38.74,3.18,0
aurion-001,10/4/2025 5:00,724.5,27.72,36.39,4.23,0
aurion-001,10/4/2025 6:00,650.18,31.23,35.45,3.79,0
aurion-001,10/4/2025 7:00,513.5,37.25,36.28,3,0
aurion-001,10/4/2025 8:00,582.99,42.13,35.34,3.4,0
aurion-001,10/4/2025 9:00,804.2,27.21,35.65,4.69,0
aurion-001,10/4/2025 10:00,704.98,35.18,36.31,4.11,0
aurion-001,10/4/2025 11:00,694.75,33.73,35.29,4.05,0
aurion-001,10/4/2025 12:00,619.87,34.77,37.23,3.62,0
aurion-001,10/4/2025 13:00,591.44,28.38,36.86,3.45,0
aurion-001,10/4/2025 14:00,732.12,33.92,35.25,4.27,0
aurion-001,10/4/2025 15:00,863.45,27.99,35.65,5.04,0
aurion-001,10/4/2025 16:00,754.97,30.12,36.14,4.41,0
aurion-001,10/4/2025 17:00,616.6,28.11,36.5,3.6,0
aurion-001,10/4/2025 18:00,679.76,38.36,37.01,3.97,0
aurion-001,10/4/2025 19:00,616.22,33.03,35.95,3.6,0
aurion-001,10/4/2025 20:00,807.67,34.12,36.48,4.71,0
aurion-001,10/4/2025 21:00,858.41,32.39,34.58,5.01,0
aurion-001,10/4/2025 22:00,725.33,33.71,34.29,4.23,0
aurion-001,10/4/2025 23:00,787.62,32.96,35.54,4.6,0
aurion-001,10/5/2025 0:00,661.79,38.88,36.74,3.86,0
aurion-001,10/5/2025 1:00,746.36,34.92,36.91,4.36,0
aurion-001,10/5/2025 2:00,745.84,25.57,35,4.35,0
aurion-001,10/5/2025 3:00,716.89,31.79,36.24,4.18,0
aurion-001,10/5/2025 4:00,866.44,42.06,36.56,5.06,0.01
aurion-001,10/5/2025 5:00,692.25,34.21,36.48,4.04,0.01
aurion-001,10/5/2025 6:00,1027.97,43.75,36.03,6,0.01
aurion-001,10/5/2025 7:00,917.35,35.91,35.4,5.35,0.01
aurion-001,10/5/2025 8:00,782.61,41.28,37.03,4.57,0.01
aurion-001,10/5/2025 9:00,839.39,36.21,34.85,4.9,0.01
aurion-001,10/5/2025 10:00,853.56,39.51,35.55,4.98,0.01
aurion-001,10/5/2025 11:00,821.45,31.17,36.38,4.79,0.01
aurion-001,10/5/2025 12:00,827.64,38.15,34.81,4.83,0.01
aurion-001,10/5/2025 13:00,837.01,43.94,37,4.88,0.01
aurion-001,10/5/2025 14:00,914.37,42.72,37.21,5.34,0.01
aurion-001,10/5/2025 15:00,719.47,32.28,36.03,4.2,0.01
aurion-001,10/5/2025 16:00,944.68,36.98,35.52,5.51,0.01
aurion-001,10/5/2025 17:00,911.87,32.41,35.97,5.32,0.01
aurion-001,10/5/2025 18:00,829.4,27.04,36.07,4.84,0.01
aurion-001,10/5/2025 19:00,851.77,32.75,35.59,4.97,0.01
aurion-001,10/5/2025 20:00,944.71,30.36,36.23,5.51,0.01
aurion-001,10/5/2025 21:00,856.07,41.1,37.08,5,0.01
aurion-001,10/5/2025 22:00,863.64,42.14,36.69,5.04,0.01
aurion-001,10/5/2025 23:00,907.42,36.7,35.84,5.3,0.01
aurion-001,10/6/2025 0:00,843.68,42.37,35.93,4.92,0.01
aurion-001,10/6/2025 1:00,939.04,32.46,37.43,5.48,0.01
aurion-001,10/6/2025 2:00,991.27,35.84,33.83,5.78,0.01
aurion-001,10/6/2025 3:00,905.08,36.68,36.14,5.28,0.01
aurion-001,10/6/2025 4:00,825.08,37.77,36.94,4.81,0.01
aurion-001,10/6/2025 5:00,747.48,46.63,35.71,4.36,0.01
aurion-001,10/6/2025 6:00,930.32,29.36,36.67,5.43,0.01
aurion-001,10/6/2025 7:00,809.48,43.28,35.6,4.72,0.01
aurion-001,10/6/2025 8:00,934.66,34.95,36.6,5.45,0.01
aurion-001,10/6/2025 9:00,949.29,40.11,33.85,5.54,0.01
aurion-001,10/6/2025 10:00,1003.31,33.16,35.35,5.86,0.01
aurion-001,10/6/2025 11:00,964.06,32.63,37.08,5.63,0.01
aurion-001,10/6/2025 12:00,859.24,39.82,39.88,5.01,0.01
aurion-001,10/6/2025 13:00,816.91,25.54,35.77,4.77,0.01
aurion-001,10/6/2025 14:00,779.22,33.09,36.67,4.55,0.01
aurion-001,10/6/2025 15:00,1013.19,39.17,35.34,5.91,0.01
aurion-001,10/6/2025 16:00,959.76,34.69,36.39,5.6,0.01
aurion-001,10/6/2025 17:00,780.2,27.07,36.53,4.55,0.01
aurion-001,10/6/2025 18:00,701.42,40.45,36.57,4.09,0.01
aurion-001,10/6/2025 19:00,974.71,25.64,37.58,5.69,0.01
aurion-001,10/6/2025 20:00,936.33,35.7,34.99,5.46,0.01
aurion-001,10/6/2025 21:00,919.14,37.55,38.51,5.36,0.01
aurion-001,10/6/2025 22:00,1191,36.97,35.57,6.95,0.01
aurion-001,10/6/2025 23:00,937.06,30.22,35.93,5.47,0.01
aurion-001,10/7/2025 0:00,923.62,33.71,37.87,5.39,0.01
aurion-001,10/7/2025 1:00,894.95,42.22,35.18,5.22,0.01
aurion-001,10/7/2025 2:00,1094.2,27.91,35.01,6.39,0.01
aurion-001,10/7/2025 3:00,1048.5,29.35,36.77,6.12,0.01
aurion-001,10/7/2025 4:00,1053.36,44.18,38.49,6.15,0.01
aurion-001,10/7/2025 5:00,891.69,38.66,36.05,5.2,0.01
aurion-001,10/7/2025 6:00,974.24,29.13,36.68,5.69,0.01
aurion-001,10/7/2025 7:00,937.49,29.75,36.32,5.47,0.01
aurion-001,10/7/2025 8:00,1035.46,31.45,34.09,6.04,0.01
aurion-001,10/7/2025 9:00,715.24,37.48,34.27,4.17,0.01
aurion-001,10/7/2025 10:00,1144.07,35.73,37.31,6.68,0.01
aurion-001,10/7/2025 11:00,1021.02,32.81,36.16,5.96,0.01
aurion-001,10/7/2025 12:00,1027.71,27.59,35.09,6,0.01
aurion-001,10/7/2025 13:00,995.25,30.21,36.86,5.81,0.01
aurion-001,10/7/2025 14:00,1127.75,31.17,33.76,6.58,0.01
aurion-001,10/7/2025 15:00,1023.4,31.06,35.76,5.97,0.01
aurion-001,10/7/2025 16:00,1044.29,37.27,34.07,6.09,0.01
aurion-001,10/7/2025 17:00,810.33,33.82,35.05,4.73,0.01
aurion-001,10/7/2025 18:00,1066.44,30.53,35.68,6.22,0.01
aurion-001,10/7/2025 19:00,1044.46,37.32,34.16,6.1,0.01
aurion-001,10/7/2025 20:00,1007.2,32.24,36.27,5.88,0.01
aurion-001,10/7/2025 21:00,871.81,33.43,35.71,5.09,0.01
aurion-001,10/7/2025 22:00,987.57,37.33,35.3,5.76,0.01
aurion-001,10/7/2025 23:00,956,32.55,35.88,5.58,0.01
aurion-001,10/8/2025 0:00,955.12,40.22,35.72,5.57,0.01
aurion-001,10/8/2025 1:00,1170.1,42.34,36.37,6.83,0.01
aurion-001,10/8/2025 2:00,871.49,44.66,37.19,5.09,0.01
aurion-001,10/8/2025 3:00,1165.2,37.97,34.82,6.8,0.01
aurion-001,10/8/2025 4:00,807.71,37.92,35.43,4.71,0.01
aurion-001,10/8/2025 5:00,1078.9,26.9,34.96,6.3,0.01
aurion-001,10/8/2025 6:00,989.87,40.53,36.44,5.78,0.01
aurion-001,10/8/2025 7:00,943.47,35.45,37.63,5.51,0.01
aurion-001,10/8/2025 8:00,773.47,39.88,37.6,4.51,0.01
aurion-001,10/8/2025 9:00,945.2,33.57,37.1,5.52,0.01
aurion-001,10/8/2025 10:00,1063.03,33.91,34.95,6.2,0.01
aurion-001,10/8/2025 11:00,1255.38,32.41,36.63,7.33,0.01
aurion-001,10/8/2025 12:00,795.73,26.22,35.43,4.64,0.01
aurion-001,10/8/2025 13:00,1015.54,26.01,35.88,5.93,0.01
aurion-001,10/8/2025 14:00,975.95,33.23,36.3,5.7,0.01
aurion-001,10/8/2025 15:00,1018.57,42.6,36.8,5.94,0.01
aurion-001,10/8/2025 16:00,842.61,32.89,36.81,4.92,0.01
aurion-001,10/8/2025 17:00,1035.27,38.05,36.15,6.04,0.01
aurion-001,10/8/2025 18:00,908.15,38.27,36.86,5.3,0.01
aurion-001,10/8/2025 19:00,1025.07,36.41,36.12,5.98,0.01
aurion-001,10/8/2025 20:00,880.47,34.98,36.12,5.14,0.01
aurion-001,10/8/2025 21:00,1137.57,41.19,36.45,6.64,0.01
aurion-001,10/8/2025 22:00,946.47,35.05,36,5.52,0.01
aurion-001,10/8/2025 23:00,1037.59,37.09,35.31,6.06,0.01
aurion-001,10/9/2025 0:00,1130.02,20.98,35.14,6.59,0.02
aurion-001,10/9/2025 1:00,784.57,41.4,34.78,4.58,0.02
aurion-001,10/9/2025 2:00,1139.58,38.06,34.04,6.65,0.02
aurion-001,10/9/2025 3:00,1044.24,34.55,35.06,6.09,0.02
aurion-001,10/9/2025 4:00,1040.58,34.01,36.39,6.07,0.02
aurion-001,10/9/2025 5:00,993.97,35.92,35.41,5.8,0.02
aurion-001,10/9/2025 6:00,1025.92,37.08,33.46,5.99,0.02
aurion-001,10/9/2025 7:00,994.31,32.42,36.68,5.8,0.02
aurion-001,10/9/2025 8:00,925.92,35.1,34.75,5.4,0.02
aurion-001,10/9/2025 9:00,765.74,33.68,36.61,4.47,0.02
aurion-001,10/9/2025 10:00,905.62,44.28,34.17,5.28,0.02
aurion-001,10/9/2025 11:00,1045.17,28.75,36.79,6.1,0.02
aurion-001,10/9/2025 12:00,942.74,43.3,36.32,5.5,0.02
aurion-001,10/9/2025 13:00,870.87,34.02,36.98,5.08,0.02
aurion-001,10/9/2025 14:00,804.98,37.59,35.62,4.7,0.02
aurion-001,10/9/2025 15:00,845.37,26.4,35.83,4.93,0.02
aurion-001,10/9/2025 16:00,1018.47,40.06,36.24,5.94,0.02
aurion-001,10/9/2025 17:00,830.03,30.88,35.11,4.84,0.02
aurion-001,10/9/2025 18:00,873.63,39.27,35.96,5.1,0.02
aurion-001,10/9/2025 19:00,941.04,41.1,33,5.49,0.02
aurion-001,10/9/2025 20:00,950.21,36.65,35.27,5.55,0.02
aurion-001,10/9/2025 21:00,913.12,38.72,35.85,5.33,0.02
aurion-001,10/9/2025 22:00,934.3,31.98,36.88,5.45,0.02
aurion-001,10/9/2025 23:00,1033.89,31.6,36.35,6.03,0.02
aurion-001,10/10/2025 0:00,1055.4,34.94,37.58,6.16,0.02
aurion-001,10/10/2025 1:00,963.23,36.28,35.73,5.62,0.02
aurion-001,10/10/2025 2:00,1035.68,34.61,36.68,6.04,0.02
aurion-001,10/10/2025 3:00,846.41,37.41,38.47,4.94,0.02
aurion-001,10/10/2025 4:00,1037.68,29.37,37.33,6.06,0.02
aurion-001,10/10/2025 5:00,853,36.38,38,4.98,0.02
aurion-001,10/10/2025 6:00,1091.08,39.48,36.85,6.37,0.02
aurion-001,10/10/2025 7:00,889.52,31.85,38.14,5.19,0.02
aurion-001,10/10/2025 8:00,830.7,30.44,36.02,4.85,0.02
aurion-001,10/10/2025 9:00,788.65,31.23,36.3,4.6,0.02
aurion-001,10/10/2025 10:00,855.76,34.83,37.09,4.99,0.02
aurion-001,10/10/2025 11:00,888.49,29.82,35.12,5.19,0.02
aurion-001,10/10/2025 12:00,932.31,36.1,34.3,5.44,0.02
aurion-001,10/10/2025 13:00,1002.54,37.9,36.84,5.85,0.02
aurion-001,10/10/2025 14:00,796.43,40.12,35.83,4.65,0.02
aurion-001,10/10/2025 15:00,739.86,28.13,36.38,4.32,0.02
aurion-001,10/10/2025 16:00,787.34,40.07,36.11,4.59,0.02
aurion-001,10/10/2025 17:00,788.68,35.13,36.68,4.6,0.02
aurion-001,10/10/2025 18:00,870.39,31.7,36.56,5.08,0.02
aurion-001,10/10/2025 19:00,933.18,29.12,36.23,5.45,0.02
aurion-001,10/10/2025 20:00,907.83,33.36,35.71,5.3,0.02
aurion-001,10/10/2025 21:00,919.9,41.91,37.25,5.37,0.02
aurion-001,10/10/2025 22:00,852.69,26.08,36.57,4.98,0.02
aurion-001,10/10/2025 23:00,874.14,33.57,36.52,5.1,0.02
aurion-001,10/11/2025 0:00,747.86,25.07,37.01,4.36,0.02
aurion-001,10/11/2025 1:00,866.93,38.62,34.21,5.06,0.02
aurion-001,10/11/2025 2:00,884.56,32.57,35.77,5.16,0.02
aurion-001,10/11/2025 3:00,813.82,37.68,34.29,4.75,0.02
aurion-001,10/11/2025 4:00,772.55,35.08,34.5,4.51,0.02
aurion-001,10/11/2025 5:00,922.72,30.45,36.29,5.38,0.02
aurion-001,10/11/2025 6:00,784.24,35.49,35.95,4.58,0.02
aurion-001,10/11/2025 7:00,882.84,33.85,35.61,5.15,0.02
aurion-001,10/11/2025 8:00,747.68,33.88,37.19,4.36,0.02
aurion-001,10/11/2025 9:00,590.61,29.98,36.77,3.45,0.02
aurion-001,10/11/2025 10:00,868.22,36.35,37.14,5.07,0.02
aurion-001,10/11/2025 11:00,824.92,25.16,36.97,4.81,0.02
aurion-001,10/11/2025 12:00,768.2,29.59,37.34,4.48,0.02
aurion-001,10/11/2025 13:00,836.21,29.65,35.1,4.88,0.02
aurion-001,10/11/2025 14:00,990.6,28.63,35,5.78,0.02
aurion-001,10/11/2025 15:00,751.39,35.61,36.17,4.38,0.02
aurion-001,10/11/2025 16:00,694.31,26.16,36.36,4.05,0.02
aurion-001,10/11/2025 17:00,839.92,34.82,35.29,4.9,0.02
aurion-001,10/11/2025 18:00,742.82,30.55,35.85,4.33,0.02
aurion-001,10/11/2025 19:00,737.87,31.95,36.95,4.31,0.02
aurion-001,10/11/2025 20:00,666.37,25.29,35.57,3.89,0.02
aurion-001,10/11/2025 21:00,961.84,40.15,37.22,5.61,0.02
aurion-001,10/11/2025 22:00,585.18,36.94,36.49,3.41,0.02
aurion-001,10/11/2025 23:00,487.55,32.95,36.52,2.85,0.02
aurion-001,10/12/2025 0:00,661.7,36.61,36.23,3.86,0.02
aurion-001,10/12/2025 1:00,604.66,40.01,34.54,3.53,0.02
aurion-001,10/12/2025 2:00,699.82,45.74,36.11,4.08,0.02
aurion-001,10/12/2025 3:00,636.52,37.1,36.52,3.71,0.02
aurion-001,10/12/2025 4:00,453.91,32.58,37.49,2.65,0.02
aurion-001,10/12/2025 5:00,764.46,34.79,34.73,4.46,0.02
aurion-001,10/12/2025 6:00,596.6,30.96,35.63,3.48,0.02
aurion-001,10/12/2025 7:00,599.36,41.19,37.86,3.5,0.02
aurion-001,10/12/2025 8:00,513.12,34.64,36.95,2.99,0.02
aurion-001,10/12/2025 9:00,578.78,33.83,36.63,3.38,0.02
aurion-001,10/12/2025 10:00,845.46,29.54,35.24,4.93,0.02
aurion-001,10/12/2025 11:00,472.32,31.62,37.97,2.76,0.02
aurion-001,10/12/2025 12:00,315.91,28.6,37.72,1.84,0.02
aurion-001,10/12/2025 13:00,621.05,26.29,36.77,3.62,0.02
aurion-001,10/12/2025 14:00,497.95,35.64,36.27,2.91,0.02
aurion-001,10/12/2025 15:00,548.33,28.26,35.19,3.2,0.02
aurion-001,10/12/2025 16:00,442.08,38.33,35.88,2.58,0.02
aurion-001,10/12/2025 17:00,424.35,35.2,35.8,2.48,0.02
aurion-001,10/12/2025 18:00,655.17,38.89,35.19,3.82,0.02
aurion-001,10/12/2025 19:00,636.83,40.64,34.9,3.72,0.02
aurion-001,10/12/2025 20:00,551.4,33.88,35.77,3.22,0.02
aurion-001,10/12/2025 21:00,579.88,33.87,36.41,3.38,0.02
aurion-001,10/12/2025 22:00,470.32,31.91,36.48,2.74,0.02
aurion-001,10/12/2025 23:00,320.13,38.56,37.05,1.87,0.02
aurion-001,10/13/2025 0:00,344.92,28.17,34.65,2.01,0.02
aurion-001,10/13/2025 1:00,553.52,17.43,35.7,3.23,0.02
